LWAGE,EXP,EXP2,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,M,F_EDC
7.04752,9,81,50,0,0,0,1,0,1,0,16,0,0,16
7.21524,21,441,47,1,0,1,1,1,0,1,12,0,1,0
7.27932,27,729,42,0,0,0,1,1,0,1,17,0,1,0
7.09008,20,400,46,1,0,1,1,1,0,1,12,0,1,0
6.58617,14,196,51,0,0,0,0,1,0,0,14,0,1,0
7.20786,27,729,50,1,1,0,0,0,0,1,9,0,1,0
7.84502,27,729,47,0,0,1,1,1,0,0,16,0,1,0
6.86693,13,169,50,0,0,1,1,1,0,0,16,0,1,0
7.09008,12,144,50,0,0,0,0,1,0,0,16,0,1,0
6.8977,30,900,46,1,1,0,1,1,0,1,12,1,1,0
7.09423,20,400,48,0,0,0,1,1,0,0,17,0,1,0
7.82405,7,49,49,0,0,0,1,1,0,0,17,0,1,0
7.00307,10,100,49,1,1,0,1,1,0,1,12,0,1,0
6.99577,39,1521,47,1,0,1,0,1,0,0,8,0,1,0
7.47534,13,169,48,0,1,0,0,1,0,0,15,0,1,0
7.18992,21,441,49,1,0,0,1,1,0,1,12,0,1,0
6.30992,35,1225,50,0,0,0,1,1,0,1,13,0,1,0
7.00307,11,121,49,1,1,0,1,1,0,1,12,0,1,0
7.27932,24,576,48,0,1,0,1,1,0,0,17,0,1,0
7.31322,50,2500,49,0,0,0,1,1,0,1,9,0,1,0
6.77422,35,1225,48,0,0,0,1,1,0,1,12,0,1,0
6.90975,11,121,48,0,0,0,1,1,0,0,12,0,1,0
6.74524,17,289,46,1,1,0,0,1,0,1,10,0,1,0
7.08423,21,441,40,1,1,1,0,1,0,1,10,0,1,0
7.44132,19,361,46,1,0,1,0,1,0,0,12,0,1,0
7.91936,34,1156,48,0,0,0,1,1,0,0,16,0,1,0
6.62007,10,100,49,0,0,1,1,1,0,0,13,0,1,0
6.96035,42,1764,47,1,1,0,0,1,0,0,12,0,1,0
7.22621,33,1089,48,0,1,0,0,1,0,0,12,0,1,0
6.92166,16,256,50,1,1,0,0,1,0,1,12,0,1,0
6.71659,22,484,47,1,1,0,0,1,0,1,12,0,1,0
7.04752,28,784,47,0,0,0,1,0,1,1,12,0,0,12
6.77878,36,1296,50,1,1,0,1,0,0,1,8,0,1,0
6.80239,18,324,48,1,0,1,0,1,0,1,12,0,1,0
6.21461,17,289,50,0,1,1,1,0,0,0,12,1,1,0
6.74524,41,1681,50,0,0,0,1,0,1,0,16,0,0,16
6.59715,39,1521,47,1,0,0,0,1,0,0,12,0,1,0
7.1309,15,225,48,0,1,0,1,1,0,0,14,0,1,0
6.85646,17,289,36,0,0,0,1,1,0,1,17,0,1,0
6.70319,8,64,48,1,1,1,1,1,0,0,13,0,1,0
6.40853,17,289,51,1,0,1,1,1,0,0,9,0,1,0
7.2724,24,576,48,0,0,0,1,1,0,0,16,0,1,0
6.62007,24,576,49,1,0,0,0,1,0,0,12,0,1,0
7.06987,9,81,51,1,1,0,0,1,0,1,8,0,1,0
7.07496,33,1089,42,1,1,0,1,1,0,1,11,0,1,0
6.27099,24,576,51,1,1,0,0,1,0,0,9,0,1,0
6.87626,19,361,48,1,1,0,0,1,0,1,12,0,1,0
7.03615,11,121,49,1,0,1,0,1,0,1,12,0,1,0
7.06133,20,400,49,0,1,0,1,1,0,1,14,0,1,0
7.1309,14,196,46,0,0,0,0,1,0,0,16,0,1,0
6.97541,16,256,50,1,0,0,0,1,0,1,12,0,1,0
6.82979,16,256,48,0,0,0,0,1,0,0,17,0,1,0
7.90397,36,1296,50,0,1,0,0,1,0,0,17,0,1,0
6.21461,18,324,26,1,0,0,0,1,0,0,12,0,1,0
6.90776,16,256,49,0,1,0,1,1,0,0,15,0,1,0
7.03527,30,900,40,1,1,1,1,1,0,1,12,0,1,0
6.77992,26,676,46,1,1,1,1,1,0,0,6,1,1,0
6.68211,12,144,49,1,1,1,1,1,0,1,12,0,1,0
7.1309,19,361,47,0,1,0,0,1,0,0,12,0,1,0
7.1309,18,324,47,0,0,1,1,0,1,0,16,0,0,16
7.00307,9,81,48,1,0,0,0,1,0,1,14,0,1,0
6.68461,41,1681,50,0,0,1,1,1,0,0,15,0,1,0
7.18311,28,784,47,0,0,1,0,1,0,0,12,0,1,0
6.21461,16,256,36,1,0,1,1,0,1,0,12,1,0,12
7.04316,37,1369,49,1,1,0,1,1,0,0,10,0,1,0
6.90776,44,1936,48,0,1,0,1,1,0,0,15,0,1,0
7.11477,41,1681,36,0,0,0,1,1,0,0,17,0,1,0
7.09008,44,1936,47,1,1,0,1,1,0,0,11,0,1,0
6.10256,42,1764,48,1,0,1,1,0,1,0,12,1,0,12
6.90776,12,144,48,1,0,0,1,1,0,1,12,0,1,0
6.39693,41,1681,49,1,1,1,0,1,0,0,5,0,1,0
7.09008,30,900,48,0,0,1,1,1,1,0,16,0,0,16
6.91473,34,1156,47,1,0,1,0,1,0,0,14,0,1,0
7.39326,10,100,50,0,0,1,1,1,0,0,12,0,1,0
6.80239,15,225,47,1,0,0,1,0,1,1,12,0,0,12
6.2634,15,225,48,0,0,0,0,0,1,0,12,0,0,12
7.04141,34,1156,47,0,0,0,1,1,0,1,12,0,1,0
7.67322,13,169,49,0,1,0,1,1,0,0,17,0,1,0
7.27031,37,1369,47,0,1,0,1,1,0,0,9,0,1,0
7.19519,33,1089,43,0,1,0,1,1,0,0,12,0,1,0
7.6811,25,625,48,0,1,0,1,1,0,0,17,0,1,0
6.47697,23,529,49,0,1,0,1,1,0,1,11,1,1,0
7.31322,28,784,40,0,0,0,1,1,0,1,17,0,1,0
7.1309,24,576,36,0,0,0,0,1,0,0,17,0,1,0
8.02027,33,1089,25,0,1,1,1,0,0,0,16,0,1,0
7.19669,9,81,49,0,0,1,1,1,0,0,12,0,1,0
7.08171,43,1849,43,1,0,1,1,1,0,1,11,0,1,0
6.94505,29,841,50,1,1,0,0,1,0,1,8,0,1,0
7.04229,11,121,48,0,0,1,1,1,0,0,14,0,1,0
7.9831,36,1296,47,0,1,0,1,1,0,0,17,0,1,0
7.09008,27,729,49,1,1,0,1,1,0,1,12,1,1,0
6.30992,13,169,51,1,0,0,0,1,0,0,12,0,1,0
7.06219,10,100,50,1,1,0,1,1,0,0,12,0,1,0
7.0076,22,484,48,1,1,0,1,1,0,1,12,0,1,0
6.99118,22,484,36,0,0,0,0,1,0,1,16,0,1,0
6.43294,42,1764,48,1,1,0,0,1,0,1,10,0,1,0
7.1309,34,1156,48,0,1,0,1,1,0,0,12,0,1,0
7.21671,11,121,51,0,0,1,1,0,1,0,17,0,0,17
7.1107,26,676,51,1,0,1,0,1,0,0,10,0,1,0
6.80239,21,441,47,1,0,0,0,1,0,1,12,0,1,0
6.7901,26,676,47,1,1,0,1,0,1,0,13,0,0,13
7.33106,38,1444,49,0,0,0,1,1,0,0,17,0,1,0
6.68211,18,324,50,0,0,1,1,1,0,0,12,0,1,0
7.09008,31,961,49,1,1,0,1,1,0,0,9,0,1,0
7.54961,15,225,48,0,0,1,1,1,0,0,16,0,1,0
7.1309,8,64,48,1,0,0,1,1,0,1,14,0,1,0
7.09008,15,225,47,0,0,0,1,1,0,1,12,0,1,0
7.10906,37,1369,47,1,0,0,1,1,0,1,10,0,1,0
6.93049,15,225,48,0,0,0,1,0,1,0,16,0,0,16
6.47697,22,484,47,0,0,1,1,0,1,0,11,1,0,11
6.2672,19,361,49,1,0,0,0,1,0,0,9,0,1,0
6.10702,26,676,36,0,0,1,1,0,1,0,11,1,0,11
6.85646,33,1089,47,0,0,0,0,1,0,0,12,0,1,0
7.40853,27,729,50,0,0,1,1,1,0,0,12,0,1,0
7.2724,9,81,48,0,1,0,0,1,0,0,15,0,1,0
6.95177,28,784,49,1,1,1,1,1,0,0,7,0,1,0
6.68461,36,1296,48,1,0,1,1,1,0,1,10,0,1,0
6.90776,32,1024,47,1,1,0,1,1,0,1,11,0,1,0
6.54391,26,676,51,1,0,0,1,1,0,1,12,1,1,0
6.9613,35,1225,43,1,0,0,1,1,0,1,12,1,1,0
6.49677,33,1089,49,1,0,0,1,1,0,1,12,0,1,0
7.16549,16,256,50,1,0,0,1,1,0,1,12,0,1,0
7.86327,23,529,49,0,0,1,0,1,0,0,14,0,1,0
7.18539,12,144,51,1,1,1,1,1,0,0,17,0,1,0
7.31322,40,1600,43,0,0,1,1,1,0,0,14,0,1,0
7.59287,27,729,50,1,0,0,1,0,0,1,14,0,1,0
7.32317,36,1296,46,1,0,1,1,1,0,0,11,0,1,0
6.65673,41,1681,47,0,1,1,0,1,0,0,9,0,1,0
6.84055,23,529,25,0,0,1,1,1,0,0,16,0,1,0
7.01661,21,441,46,1,1,0,0,1,0,1,12,0,1,0
6.77422,9,81,50,1,0,1,0,1,0,0,12,1,1,0
6.66058,38,1444,50,1,1,0,0,1,0,1,7,0,1,0
6.62007,16,256,52,1,0,0,0,1,0,0,12,0,1,0
6.98472,9,81,49,0,0,1,1,1,0,0,17,0,1,0
7.24423,19,361,47,0,1,0,1,1,0,0,16,0,1,0
6.95655,37,1369,47,1,1,0,1,1,0,1,6,1,1,0
7.03351,19,361,51,1,1,0,1,1,0,1,10,0,1,0
7.49554,13,169,44,0,0,0,1,1,0,0,12,0,1,0
7.46737,22,484,51,0,0,0,1,1,0,0,16,0,1,0
7.47591,27,729,50,1,0,0,1,1,0,1,12,0,1,0
7.05186,21,441,49,1,1,0,1,1,0,1,12,0,1,0
7.64969,11,121,47,0,0,1,1,1,0,0,16,0,1,0
6.97541,9,81,48,1,1,0,1,1,0,1,13,0,1,0
7.46737,31,961,47,0,0,0,1,1,0,0,17,0,1,0
6.62672,10,100,40,0,0,1,0,0,1,0,16,0,0,16
6.96602,46,2116,51,1,0,0,1,1,0,0,10,0,1,0
6.39693,26,676,48,1,0,0,0,0,1,0,12,0,0,12
6.9256,11,121,47,1,1,0,0,1,0,0,16,0,1,0
7.31322,7,49,47,0,0,0,1,0,0,0,16,0,1,0
7.27932,15,225,49,0,1,0,1,1,0,0,16,0,1,0
7.00307,43,1849,47,0,0,0,1,1,0,1,12,1,1,0
6.44413,27,729,45,1,1,0,1,1,0,1,9,0,1,0
7.0184,37,1369,46,0,1,0,1,1,0,1,11,0,1,0
